"","X","title","description","termsOfService","contact","license","version","used.keys","missing.keys","pam_fit$clustering"
"1","1forge.com",1,1,0,1,0,1,4,2,1
"2","6-dot-authentiqio.appspot.com",1,1,1,1,1,1,6,0,2
"3","adafruit.com",1,1,0,0,0,1,3,3,3
"4","adobe.com:aem",1,1,0,1,0,1,4,2,1
"5","afterbanks.com",1,1,0,0,0,1,3,3,3
"6","agco-ats.com",1,0,0,1,0,1,3,3,1
"7","airport-web.appspot.com",1,1,0,0,0,1,3,3,3
"8","amadeus.com",1,0,0,1,1,1,4,2,4
"9","amazonaws.com:AWSMigrationHub",1,1,1,1,1,1,6,0,2
"10","amazonaws.com:acm",1,1,1,1,1,1,6,0,2
"11","amazonaws.com:alexaforbusiness",1,1,1,1,1,1,6,0,2
"12","amazonaws.com:apigateway",1,1,1,1,1,1,6,0,2
"13","amazonaws.com:application-autoscaling",1,1,1,1,1,1,6,0,2
"14","amazonaws.com:appstream",1,1,1,1,1,1,6,0,2
"15","amazonaws.com:appsync",1,1,1,1,1,1,6,0,2
"16","amazonaws.com:athena",1,1,1,1,1,1,6,0,2
"17","amazonaws.com:autoscaling",1,1,1,1,1,1,6,0,2
"18","amazonaws.com:autoscaling-plans",1,1,1,1,1,1,6,0,2
"19","amazonaws.com:batch",1,1,1,1,1,1,6,0,2
"20","amazonaws.com:budgets",1,1,1,1,1,1,6,0,2
"21","amazonaws.com:ce",1,1,1,1,1,1,6,0,2
"22","amazonaws.com:cloud9",1,1,1,1,1,1,6,0,2
"23","amazonaws.com:clouddirectory",1,1,1,1,1,1,6,0,2
"24","amazonaws.com:cloudformation",1,1,1,1,1,1,6,0,2
"25","amazonaws.com:cloudfront",1,1,1,1,1,1,6,0,2
"26","amazonaws.com:cloudhsm",1,1,1,1,1,1,6,0,2
"27","amazonaws.com:cloudhsmv2",1,1,1,1,1,1,6,0,2
"28","amazonaws.com:cloudsearch",1,1,1,1,1,1,6,0,2
"29","amazonaws.com:cloudsearchdomain",1,1,1,1,1,1,6,0,2
"30","amazonaws.com:cloudtrail",1,1,1,1,1,1,6,0,2
"31","amazonaws.com:codebuild",1,1,1,1,1,1,6,0,2
"32","amazonaws.com:codecommit",1,1,1,1,1,1,6,0,2
"33","amazonaws.com:codedeploy",1,1,1,1,1,1,6,0,2
"34","amazonaws.com:codepipeline",1,1,1,1,1,1,6,0,2
"35","amazonaws.com:codestar",1,1,1,1,1,1,6,0,2
"36","amazonaws.com:cognito-identity",1,1,1,1,1,1,6,0,2
"37","amazonaws.com:cognito-idp",1,1,1,1,1,1,6,0,2
"38","amazonaws.com:cognito-sync",1,1,1,1,1,1,6,0,2
"39","amazonaws.com:comprehend",1,1,1,1,1,1,6,0,2
"40","amazonaws.com:config",1,1,1,1,1,1,6,0,2
