,0
1forge.com,financial
6-dot-authentiqio.appspot.com,security
adafruit.com,iot
adobe.com:aem,marketing
adyen.com:CheckoutService,payment
adyen.com:PaymentService,payment
adyen.com:RecurringService,payment
afterbanks.com,financial
agco-ats.com,ecommerce
airport-web.appspot.com,transport
amazonaws.com:AWSMigrationHub,cloud
amazonaws.com:acm,cloud
amazonaws.com:acm-pca,cloud
amazonaws.com:alexaforbusiness,cloud
amazonaws.com:apigateway,cloud
amazonaws.com:application-autoscaling,cloud
amazonaws.com:appstream,cloud
amazonaws.com:appsync,cloud
amazonaws.com:athena,cloud
amazonaws.com:autoscaling,cloud
amazonaws.com:autoscaling-plans,cloud
amazonaws.com:batch,cloud
amazonaws.com:budgets,cloud
amazonaws.com:ce,cloud
amazonaws.com:cloud9,cloud
amazonaws.com:clouddirectory,cloud
amazonaws.com:cloudformation,cloud
amazonaws.com:cloudfront,cloud
amazonaws.com:cloudhsm,cloud
amazonaws.com:cloudhsmv2,cloud
amazonaws.com:cloudsearch,cloud
amazonaws.com:cloudsearchdomain,cloud
amazonaws.com:cloudtrail,cloud
amazonaws.com:codebuild,cloud
amazonaws.com:codecommit,cloud
amazonaws.com:codedeploy,cloud
amazonaws.com:codepipeline,cloud
amazonaws.com:codestar,cloud
amazonaws.com:cognito-identity,cloud
amazonaws.com:cognito-idp,cloud
amazonaws.com:cognito-sync,cloud
amazonaws.com:comprehend,cloud
amazonaws.com:config,cloud
amazonaws.com:connect,cloud
amazonaws.com:cur,cloud
amazonaws.com:datapipeline,cloud
amazonaws.com:dax,cloud
amazonaws.com:devicefarm,cloud
amazonaws.com:directconnect,cloud
amazonaws.com:discovery,cloud
amazonaws.com:dms,cloud
amazonaws.com:ds,cloud
amazonaws.com:dynamodb,cloud
amazonaws.com:ec2,cloud
amazonaws.com:ecr,cloud
amazonaws.com:ecs,cloud
amazonaws.com:elasticache,cloud
amazonaws.com:elasticbeanstalk,cloud
amazonaws.com:elasticfilesystem,cloud
amazonaws.com:elasticloadbalancing,cloud
amazonaws.com:elasticloadbalancingv2,cloud
amazonaws.com:elasticmapreduce,cloud
amazonaws.com:elastictranscoder,cloud
amazonaws.com:email,cloud
amazonaws.com:entitlement.marketplace,cloud
amazonaws.com:es,cloud
amazonaws.com:events,cloud
amazonaws.com:firehose,cloud
amazonaws.com:fms,cloud
amazonaws.com:gamelift,cloud
amazonaws.com:glacier,cloud
amazonaws.com:glue,cloud
amazonaws.com:greengrass,cloud
amazonaws.com:guardduty,cloud
amazonaws.com:health,cloud
amazonaws.com:iam,cloud
amazonaws.com:importexport,cloud
amazonaws.com:inspector,cloud
amazonaws.com:iot,cloud
amazonaws.com:iot-data,cloud
amazonaws.com:iot-jobs-data,cloud
amazonaws.com:iot1click-devices,cloud
amazonaws.com:iot1click-projects,cloud
amazonaws.com:iotanalytics,cloud
amazonaws.com:kinesis,cloud
amazonaws.com:kinesis-video-archived-media,cloud
amazonaws.com:kinesis-video-media,cloud
amazonaws.com:kinesisanalytics,cloud
amazonaws.com:kinesisvideo,cloud
amazonaws.com:kms,cloud
amazonaws.com:lambda,cloud
amazonaws.com:lex-models,cloud
amazonaws.com:lightsail,cloud
amazonaws.com:logs,cloud
amazonaws.com:machinelearning,cloud
amazonaws.com:marketplacecommerceanalytics,cloud
amazonaws.com:mediaconvert,cloud
amazonaws.com:medialive,cloud
amazonaws.com:mediapackage,cloud
amazonaws.com:mediastore,cloud
amazonaws.com:mediastore-data,cloud
amazonaws.com:meteringmarketplace,cloud
amazonaws.com:mobile,cloud
amazonaws.com:mobileanalytics,cloud
amazonaws.com:monitoring,cloud
amazonaws.com:mq,cloud
amazonaws.com:mturk-requester,cloud
amazonaws.com:opsworks,cloud
amazonaws.com:opsworkscm,cloud
amazonaws.com:organizations,cloud
amazonaws.com:pinpoint,cloud
amazonaws.com:polly,cloud
amazonaws.com:pricing,cloud
amazonaws.com:rds,cloud
amazonaws.com:redshift,cloud
amazonaws.com:rekognition,cloud
amazonaws.com:resource-groups,cloud
amazonaws.com:resourcegroupstaggingapi,cloud
amazonaws.com:route53,cloud
amazonaws.com:route53domains,cloud
amazonaws.com:runtime.lex,cloud
amazonaws.com:runtime.sagemaker,cloud
amazonaws.com:s3,cloud
amazonaws.com:sagemaker,cloud
amazonaws.com:sdb,cloud
amazonaws.com:secretsmanager,cloud
amazonaws.com:serverlessrepo,cloud
amazonaws.com:servicecatalog,cloud
amazonaws.com:servicediscovery,cloud
amazonaws.com:shield,cloud
amazonaws.com:sms,cloud
amazonaws.com:snowball,cloud
amazonaws.com:sns,cloud
amazonaws.com:sqs,cloud
amazonaws.com:ssm,cloud
amazonaws.com:states,cloud
amazonaws.com:storagegateway,cloud
amazonaws.com:streams.dynamodb,cloud
amazonaws.com:sts,cloud
amazonaws.com:support,cloud
amazonaws.com:swf,cloud
amazonaws.com:transcribe,cloud
amazonaws.com:translate,cloud
amazonaws.com:waf,cloud
amazonaws.com:waf-regional,cloud
amazonaws.com:workdocs,cloud
amazonaws.com:workmail,cloud
amazonaws.com:workspaces,cloud
amazonaws.com:xray,cloud
anchore.io,developer_tools
apache.org:qakka,messaging
apacta.com,time_management
api2cart.com,ecommerce
apigee.net:marketcheck-cars,ecommerce
apimatic.io,developer_tools
apis.guru,open_data
apitore.com:documentFrequencyApis,text
apitore.com:languageDetectionApis,text
apitore.com:sentenceSeparatorApis,text
apitore.com:sentenceSimilarity,text
apitore.com:sentencepieceApis_tweet_,text
apitore.com:sentencepieceApis_wikipedia_,text
apitore.com:sentimentApis,developer_tools
apitore.com:synonymApis,text
apitore.com:tweetSummarizationApis,text
apitore.com:twitterApis,text
apitore.com:twitterApisWithSentimentByApitoreSentimentApi,text
apitore.com:twitterApisWithWord2vecQueryExpansion,text
"apitore.com:twitterApisWithWord2vecQueryExpansion,AndAddSentimentByApitoreSentimentApi",text
apitore.com:word2vecApis,text
apitore.com:wordnetApis,text
apitore.com:wordnetHypernymApis,text
apitore.com:wordnetHyponymApis,text
apitore.com:wordnetSimilarityApis,text
apitore.com:wordnetSynonymApis,text
apitore.com:wordnetTranslationApis,text
apitore.com:wordsToVectorsApis,text
appveyor.com,developer_tools
archive.org:search,search
archive.org:wayback,search
art19.com,media
ato.gov.au,financial
aucklandmuseum.com,open_data
authentiq.io,security
avaza.com,collaboration
aviationdata.systems,transport
azure.com:advisor,cloud
azure.com:analysisservices,cloud
azure.com:apimanagement,cloud
azure.com:apimanagement-apimapis,cloud
azure.com:apimanagement-apimauthorizationservers,cloud
azure.com:apimanagement-apimbackends,cloud
azure.com:apimanagement-apimcertificates,cloud
azure.com:apimanagement-apimdeployment,cloud
azure.com:apimanagement-apimdiagnostics,cloud
azure.com:apimanagement-apimemailtemplate,cloud
azure.com:apimanagement-apimgroups,cloud
azure.com:apimanagement-apimidentityprovider,cloud
azure.com:apimanagement-apimloggers,cloud
azure.com:apimanagement-apimnetworkstatus,cloud
azure.com:apimanagement-apimnotifications,cloud
azure.com:apimanagement-apimopenidconnectproviders,cloud
azure.com:apimanagement-apimproducts,cloud
azure.com:apimanagement-apimproperties,cloud
azure.com:apimanagement-apimquotas,cloud
azure.com:apimanagement-apimreports,cloud
azure.com:apimanagement-apimsubscriptions,cloud
azure.com:apimanagement-apimtagresources,cloud
azure.com:apimanagement-apimtags,cloud
azure.com:apimanagement-apimtenant,cloud
azure.com:apimanagement-apimusers,cloud
azure.com:apimanagement-apimversionsets,cloud
azure.com:applicationinsights-aiOperations_API,cloud
azure.com:applicationinsights-componentAnnotations_API,cloud
azure.com:applicationinsights-componentApiKeys_API,cloud
azure.com:applicationinsights-componentContinuousExport_API,cloud
azure.com:applicationinsights-componentFeaturesAndPricing_API,cloud
azure.com:applicationinsights-componentProactiveDetection_API,cloud
azure.com:applicationinsights-componentWorkItemConfigs_API,cloud
azure.com:applicationinsights-components_API,cloud
azure.com:applicationinsights-favorites_API,cloud
azure.com:applicationinsights-webTestLocations_API,cloud
azure.com:applicationinsights-webTests_API,cloud
azure.com:authorization,cloud
azure.com:authorization-authorization-ClassicAdminCalls,cloud
azure.com:authorization-authorization-RACalls,cloud
azure.com:authorization-authorization-RoleBasedCalls,cloud
azure.com:automation-account,cloud
azure.com:automation-certificate,cloud
azure.com:automation-connection,cloud
azure.com:automation-connectionType,cloud
azure.com:automation-credential,cloud
azure.com:automation-dscCompilationJob,cloud
azure.com:automation-dscConfiguration,cloud
azure.com:automation-dscNode,cloud
azure.com:automation-dscNodeConfiguration,cloud
azure.com:automation-hybridRunbookWorkerGroup,cloud
azure.com:automation-job,cloud
azure.com:automation-jobSchedule,cloud
azure.com:automation-linkedWorkspace,cloud
azure.com:automation-module,cloud
azure.com:automation-runbook,cloud
azure.com:automation-schedule,cloud
azure.com:automation-softwareUpdateConfiguration,cloud
azure.com:automation-softwareUpdateConfigurationMachineRun,cloud
azure.com:automation-softwareUpdateConfigurationRun,cloud
azure.com:automation-sourceControl,cloud
azure.com:automation-sourceControlSyncJob,cloud
azure.com:automation-variable,cloud
azure.com:automation-webhook,cloud
azure.com:azsadmin-Alert,cloud
azure.com:azsadmin-CommerceAdmin,cloud
azure.com:azsadmin-EdgeGateway,cloud
azure.com:azsadmin-EdgeGatewayPool,cloud
azure.com:azsadmin-FabricLocation,cloud
azure.com:azsadmin-FileShare,cloud
azure.com:azsadmin-InfraRole,cloud
azure.com:azsadmin-InfraRoleInstance,cloud
azure.com:azsadmin-IpPool,cloud
azure.com:azsadmin-LogicalNetwork,cloud
azure.com:azsadmin-LogicalSubnet,cloud
azure.com:azsadmin-MacAddressPool,cloud
azure.com:azsadmin-Operations,cloud
azure.com:azsadmin-RegionHealth,cloud
azure.com:azsadmin-ResourceHealth,cloud
azure.com:azsadmin-ScaleUnit,cloud
azure.com:azsadmin-ScaleUnitNode,cloud
azure.com:azsadmin-ServiceHealth,cloud
azure.com:azsadmin-SlbMuxInstance,cloud
azure.com:azsadmin-StoragePool,cloud
azure.com:azsadmin-StorageSystem,cloud
azure.com:azsadmin-Volume,cloud
azure.com:azurestack-AzureStack,cloud
azure.com:azurestack-CustomerSubscription,cloud
azure.com:azurestack-Product,cloud
azure.com:azurestack-Registration,cloud
azure.com:batch-BatchManagement,cloud
azure.com:batchai-BatchAI,cloud
azure.com:billing,cloud
azure.com:cdn,cloud
azure.com:cognitiveservices,cloud
azure.com:cognitiveservices-ComputerVision,cloud
azure.com:cognitiveservices-ContentModerator,cloud
azure.com:cognitiveservices-Face,cloud
azure.com:cognitiveservices-LUIS-Programmatic,cloud
azure.com:cognitiveservices-LUIS-Runtime,cloud
azure.com:cognitiveservices-TextAnalytics,cloud
azure.com:commerce,cloud
azure.com:compute,cloud
azure.com:compute-containerService,cloud
azure.com:compute-disk,cloud
azure.com:compute-runCommands,cloud
azure.com:compute-skus,cloud
azure.com:compute-swagger,cloud
azure.com:consumption,cloud
azure.com:containerinstance-containerInstance,cloud
azure.com:containerregistry,cloud
azure.com:containerservices-containerService,cloud
azure.com:containerservices-location,cloud
azure.com:containerservices-managedClusters,cloud
azure.com:cosmos-db,cloud
azure.com:customer-insights,cloud
azure.com:datacatalog,cloud
azure.com:datafactory,cloud
azure.com:datalake-analytics-account,cloud
azure.com:datalake-analytics-catalog,cloud
azure.com:datalake-analytics-job,cloud
azure.com:datalake-store-account,cloud
azure.com:datalake-store-filesystem,cloud
azure.com:datamigration,cloud
azure.com:deviceprovisioningservices-iotdps,cloud
azure.com:devtestlabs-DTL,cloud
azure.com:dns,cloud
azure.com:domainservices,cloud
azure.com:eventgrid-EventGrid,cloud
azure.com:eventhub-EventHub,cloud
azure.com:hanaonazure,cloud
