"","X","swagger","info","host","basePath","schemes","consumes","produces","paths","definitions","parameters","responses","securityDefinitions","security","tags","externalDocs","cluster.results$cluster"
"1","1forge.com",1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,5
"2","6-dot-authentiqio.appspot.com",1,1,1,1,1,0,0,1,1,1,1,0,0,0,0,1
"3","adafruit.com",1,1,1,1,1,0,1,1,1,1,0,1,1,0,0,6
"4","adobe.com:aem",1,1,1,1,1,0,0,1,1,0,0,1,1,0,0,6
"5","afterbanks.com",1,1,1,1,1,0,1,1,1,0,0,0,0,0,0,5
"6","agco-ats.com",1,1,1,0,1,0,0,1,1,0,0,0,0,0,0,5
"7","airport-web.appspot.com",1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,5
"8","amadeus.com",1,1,1,1,1,0,1,1,1,0,0,1,1,0,0,6
"9","amazonaws.com:AWSMigrationHub",1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,3
"10","amazonaws.com:acm",1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,3
"11","amazonaws.com:alexaforbusiness",1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,3
"12","amazonaws.com:apigateway",1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,3
"13","amazonaws.com:application-autoscaling",1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,3
"14","amazonaws.com:appstream",1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,3
"15","amazonaws.com:appsync",1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,3
"16","amazonaws.com:athena",1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,3
"17","amazonaws.com:autoscaling",1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,3
"18","amazonaws.com:autoscaling-plans",1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,3
"19","amazonaws.com:batch",1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,3
"20","amazonaws.com:budgets",1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,3
"21","amazonaws.com:ce",1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,3
"22","amazonaws.com:cloud9",1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,3
"23","amazonaws.com:clouddirectory",1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,3
"24","amazonaws.com:cloudformation",1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,3
"25","amazonaws.com:cloudfront",1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,3
