,swagger,info,host,basePath,schemes,consumes,produces,paths,definitions,parameters,responses,securityDefinitions,security,tags,externalDocs,implemented fields,missing fields,cluster
1forge.com,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,7,8,6
6-dot-authentiqio.appspot.com,1,1,1,1,1,0,0,1,1,1,1,0,0,0,0,9,6,3
adafruit.com,1,1,1,1,1,0,1,1,1,1,0,1,1,0,0,11,4,1
adobe.com:aem,1,1,1,1,1,0,0,1,1,0,0,1,1,0,0,9,6,1
afterbanks.com,1,1,1,1,1,0,1,1,1,0,0,0,0,0,0,8,7,6
agco-ats.com,1,1,1,0,1,0,0,1,1,0,0,0,0,0,0,6,9,6
airport-web.appspot.com,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,10,5,6
amadeus.com,1,1,1,1,1,0,1,1,1,0,0,1,1,0,0,10,5,1
amazonaws.com:AWSMigrationHub,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,13,2,2
amazonaws.com:acm,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,13,2,2
amazonaws.com:alexaforbusiness,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,13,2,2
amazonaws.com:apigateway,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,13,2,2
amazonaws.com:application-autoscaling,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,13,2,2
amazonaws.com:appstream,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,13,2,2
amazonaws.com:appsync,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,13,2,2
amazonaws.com:athena,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,13,2,2
amazonaws.com:autoscaling,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,13,2,2
amazonaws.com:autoscaling-plans,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,13,2,2
amazonaws.com:batch,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,13,2,2
amazonaws.com:budgets,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,13,2,2
amazonaws.com:ce,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,13,2,2
amazonaws.com:cloud9,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,13,2,2
amazonaws.com:clouddirectory,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,13,2,2
amazonaws.com:cloudformation,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,13,2,2
amazonaws.com:cloudfront,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,13,2,2
amazonaws.com:cloudhsm,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,13,2,2
amazonaws.com:cloudhsmv2,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,13,2,2
