API,label
1forge.com,1
6-dot-authentiqio.appspot.com,2
adafruit.com,3
adobe.com:aem,4
adyen.com:CheckoutService,1
adyen.com:PaymentService,5
adyen.com:RecurringService,1
afterbanks.com,6
agco-ats.com,7
airport-web.appspot.com,8
amadeus.com,9
amazonaws.com:AWSMigrationHub,4
amazonaws.com:acm,9
amazonaws.com:acm-pca,4
amazonaws.com:alexaforbusiness,10
amazonaws.com:apigateway,11
amazonaws.com:application-autoscaling,9
amazonaws.com:appstream,3
amazonaws.com:appsync,12
amazonaws.com:athena,9
amazonaws.com:autoscaling,10
amazonaws.com:autoscaling-plans,13
amazonaws.com:batch,4
amazonaws.com:budgets,4
amazonaws.com:ce,13
amazonaws.com:cloud9,9
amazonaws.com:clouddirectory,11
amazonaws.com:cloudformation,10
amazonaws.com:cloudfront,3
amazonaws.com:cloudhsm,12
amazonaws.com:cloudhsmv2,9
amazonaws.com:cloudsearch,12
amazonaws.com:cloudsearchdomain,14
amazonaws.com:cloudtrail,4
amazonaws.com:codebuild,4
amazonaws.com:codecommit,3
amazonaws.com:codedeploy,10
amazonaws.com:codepipeline,3
amazonaws.com:codestar,12
amazonaws.com:cognito-identity,12
amazonaws.com:cognito-idp,7
amazonaws.com:cognito-sync,4
amazonaws.com:comprehend,9
amazonaws.com:config,10
amazonaws.com:connect,15
amazonaws.com:cur,14
amazonaws.com:datapipeline,12
amazonaws.com:dax,12
amazonaws.com:devicefarm,11
amazonaws.com:directconnect,10
amazonaws.com:discovery,12
amazonaws.com:dms,10
amazonaws.com:ds,10
amazonaws.com:dynamodb,3
amazonaws.com:ec2,16
amazonaws.com:ecr,12
amazonaws.com:ecs,3
amazonaws.com:elasticache,10
amazonaws.com:elasticbeanstalk,10
amazonaws.com:elasticfilesystem,9
amazonaws.com:elasticloadbalancing,3
amazonaws.com:elasticloadbalancingv2,3
amazonaws.com:elasticmapreduce,3
amazonaws.com:elastictranscoder,4
amazonaws.com:email,11
amazonaws.com:entitlement.marketplace,1
amazonaws.com:es,4
amazonaws.com:events,4
amazonaws.com:firehose,9
amazonaws.com:fms,9
amazonaws.com:gamelift,11
amazonaws.com:glacier,12
amazonaws.com:glue,11
amazonaws.com:greengrass,10
amazonaws.com:guardduty,3
amazonaws.com:health,13
amazonaws.com:iam,7
amazonaws.com:importexport,13
amazonaws.com:inspector,3
amazonaws.com:iot,11
amazonaws.com:iot-data,14
amazonaws.com:iot-jobs-data,14
amazonaws.com:iot1click-devices,9
amazonaws.com:iot1click-projects,9
amazonaws.com:iotanalytics,12
amazonaws.com:kinesis,12
amazonaws.com:kinesis-video-archived-media,15
amazonaws.com:kinesis-video-media,1
amazonaws.com:kinesisanalytics,4
amazonaws.com:kinesisvideo,9
amazonaws.com:kms,3
amazonaws.com:lambda,12
amazonaws.com:lex-models,3
amazonaws.com:lightsail,11
amazonaws.com:logs,3
amazonaws.com:machinelearning,3
amazonaws.com:marketplacecommerceanalytics,15
amazonaws.com:mediaconvert,4
amazonaws.com:medialive,9
amazonaws.com:mediapackage,2
amazonaws.com:mediastore,9
amazonaws.com:mediastore-data,14
amazonaws.com:meteringmarketplace,14
