API,label
1forge.com,1
6-dot-authentiqio.appspot.com,2
adafruit.com,3
adobe.com:aem,3
adyen.com:CheckoutService,1
adyen.com:PaymentService,1
adyen.com:RecurringService,1
afterbanks.com,1
agco-ats.com,1
airport-web.appspot.com,4
amadeus.com,3
amazonaws.com:AWSMigrationHub,5
amazonaws.com:acm,5
amazonaws.com:acm-pca,5
amazonaws.com:alexaforbusiness,5
amazonaws.com:apigateway,5
amazonaws.com:application-autoscaling,5
amazonaws.com:appstream,5
amazonaws.com:appsync,5
amazonaws.com:athena,5
amazonaws.com:autoscaling,5
amazonaws.com:autoscaling-plans,5
amazonaws.com:batch,5
amazonaws.com:budgets,5
amazonaws.com:ce,5
amazonaws.com:cloud9,5
amazonaws.com:clouddirectory,5
amazonaws.com:cloudformation,5
amazonaws.com:cloudfront,5
amazonaws.com:cloudhsm,5
amazonaws.com:cloudhsmv2,5
amazonaws.com:cloudsearch,5
amazonaws.com:cloudsearchdomain,5
amazonaws.com:cloudtrail,5
amazonaws.com:codebuild,5
amazonaws.com:codecommit,5
amazonaws.com:codedeploy,5
amazonaws.com:codepipeline,5
amazonaws.com:codestar,5
amazonaws.com:cognito-identity,5
amazonaws.com:cognito-idp,5
amazonaws.com:cognito-sync,5
amazonaws.com:comprehend,5
amazonaws.com:config,5
amazonaws.com:connect,5
amazonaws.com:cur,5
amazonaws.com:datapipeline,5
amazonaws.com:dax,5
amazonaws.com:devicefarm,5
amazonaws.com:directconnect,5
amazonaws.com:discovery,5
amazonaws.com:dms,5
amazonaws.com:ds,5
amazonaws.com:dynamodb,5
amazonaws.com:ec2,5
amazonaws.com:ecr,5
amazonaws.com:ecs,5
amazonaws.com:elasticache,5
amazonaws.com:elasticbeanstalk,5
amazonaws.com:elasticfilesystem,5
amazonaws.com:elasticloadbalancing,5
amazonaws.com:elasticloadbalancingv2,5
amazonaws.com:elasticmapreduce,5
amazonaws.com:elastictranscoder,5
amazonaws.com:email,5
amazonaws.com:entitlement.marketplace,5
amazonaws.com:es,5
amazonaws.com:events,5
amazonaws.com:firehose,5
amazonaws.com:fms,5
amazonaws.com:gamelift,5
amazonaws.com:glacier,5
amazonaws.com:glue,5
amazonaws.com:greengrass,5
amazonaws.com:guardduty,5
amazonaws.com:health,5
amazonaws.com:iam,5
amazonaws.com:importexport,5
amazonaws.com:inspector,5
amazonaws.com:iot,5
amazonaws.com:iot-data,5
amazonaws.com:iot-jobs-data,5
amazonaws.com:iot1click-devices,5
amazonaws.com:iot1click-projects,5
amazonaws.com:iotanalytics,5
amazonaws.com:kinesis,5
amazonaws.com:kinesis-video-archived-media,5
amazonaws.com:kinesis-video-media,5
amazonaws.com:kinesisanalytics,5
amazonaws.com:kinesisvideo,5
amazonaws.com:kms,5
amazonaws.com:lambda,5
amazonaws.com:lex-models,5
amazonaws.com:lightsail,5
amazonaws.com:logs,5
amazonaws.com:machinelearning,5
amazonaws.com:marketplacecommerceanalytics,5
amazonaws.com:mediaconvert,5
amazonaws.com:medialive,5
amazonaws.com:mediapackage,5
amazonaws.com:mediastore,5
amazonaws.com:mediastore-data,5
amazonaws.com:meteringmarketplace,5
