API,label
1forge.com,1
6-dot-authentiqio.appspot.com,2
adafruit.com,3
adobe.com:aem,3
adyen.com:CheckoutService,1
adyen.com:PaymentService,2
adyen.com:RecurringService,1
afterbanks.com,1
agco-ats.com,3
airport-web.appspot.com,1
amadeus.com,2
amazonaws.com:AWSMigrationHub,3
amazonaws.com:acm,2
amazonaws.com:acm-pca,3
amazonaws.com:alexaforbusiness,3
amazonaws.com:apigateway,3
amazonaws.com:application-autoscaling,2
amazonaws.com:appstream,3
amazonaws.com:appsync,3
amazonaws.com:athena,2
amazonaws.com:autoscaling,3
amazonaws.com:autoscaling-plans,2
amazonaws.com:batch,3
amazonaws.com:budgets,3
amazonaws.com:ce,2
amazonaws.com:cloud9,2
amazonaws.com:clouddirectory,3
amazonaws.com:cloudformation,3
amazonaws.com:cloudfront,3
amazonaws.com:cloudhsm,3
amazonaws.com:cloudhsmv2,2
amazonaws.com:cloudsearch,3
amazonaws.com:cloudsearchdomain,2
amazonaws.com:cloudtrail,3
amazonaws.com:codebuild,3
amazonaws.com:codecommit,3
amazonaws.com:codedeploy,3
amazonaws.com:codepipeline,3
amazonaws.com:codestar,3
amazonaws.com:cognito-identity,3
amazonaws.com:cognito-idp,3
amazonaws.com:cognito-sync,3
amazonaws.com:comprehend,2
amazonaws.com:config,3
amazonaws.com:connect,1
amazonaws.com:cur,2
amazonaws.com:datapipeline,3
amazonaws.com:dax,3
amazonaws.com:devicefarm,3
amazonaws.com:directconnect,3
amazonaws.com:discovery,3
amazonaws.com:dms,3
amazonaws.com:ds,3
amazonaws.com:dynamodb,3
amazonaws.com:ec2,3
amazonaws.com:ecr,3
amazonaws.com:ecs,3
amazonaws.com:elasticache,3
amazonaws.com:elasticbeanstalk,3
amazonaws.com:elasticfilesystem,2
amazonaws.com:elasticloadbalancing,3
amazonaws.com:elasticloadbalancingv2,3
amazonaws.com:elasticmapreduce,3
amazonaws.com:elastictranscoder,3
amazonaws.com:email,3
amazonaws.com:entitlement.marketplace,1
amazonaws.com:es,3
amazonaws.com:events,3
amazonaws.com:firehose,2
amazonaws.com:fms,2
amazonaws.com:gamelift,3
amazonaws.com:glacier,3
amazonaws.com:glue,3
amazonaws.com:greengrass,3
amazonaws.com:guardduty,3
amazonaws.com:health,2
amazonaws.com:iam,3
amazonaws.com:importexport,2
amazonaws.com:inspector,3
amazonaws.com:iot,3
amazonaws.com:iot-data,2
amazonaws.com:iot-jobs-data,2
amazonaws.com:iot1click-devices,2
amazonaws.com:iot1click-projects,2
amazonaws.com:iotanalytics,3
amazonaws.com:kinesis,3
amazonaws.com:kinesis-video-archived-media,1
amazonaws.com:kinesis-video-media,1
amazonaws.com:kinesisanalytics,3
amazonaws.com:kinesisvideo,2
amazonaws.com:kms,3
amazonaws.com:lambda,3
amazonaws.com:lex-models,3
amazonaws.com:lightsail,3
amazonaws.com:logs,3
amazonaws.com:machinelearning,3
amazonaws.com:marketplacecommerceanalytics,1
amazonaws.com:mediaconvert,3
amazonaws.com:medialive,2
amazonaws.com:mediapackage,2
amazonaws.com:mediastore,2
amazonaws.com:mediastore-data,2
amazonaws.com:meteringmarketplace,2
