API,label
1forge.com,1
6-dot-authentiqio.appspot.com,2
adafruit.com,3
adobe.com:aem,4
afterbanks.com,5
agco-ats.com,6
airport-web.appspot.com,1
amadeus.com,4
amazonaws.com:AWSMigrationHub,4
amazonaws.com:acm,4
amazonaws.com:alexaforbusiness,3
amazonaws.com:apigateway,6
amazonaws.com:application-autoscaling,4
amazonaws.com:appstream,3
amazonaws.com:appsync,4
amazonaws.com:athena,4
amazonaws.com:autoscaling,6
amazonaws.com:autoscaling-plans,2
amazonaws.com:batch,4
amazonaws.com:budgets,4
amazonaws.com:ce,2
amazonaws.com:cloud9,4
amazonaws.com:clouddirectory,6
amazonaws.com:cloudformation,3
amazonaws.com:cloudfront,3
amazonaws.com:cloudhsm,4
amazonaws.com:cloudhsmv2,4
amazonaws.com:cloudsearch,3
amazonaws.com:cloudsearchdomain,5
amazonaws.com:cloudtrail,4
amazonaws.com:codebuild,4
amazonaws.com:codecommit,3
amazonaws.com:codedeploy,3
amazonaws.com:codepipeline,3
amazonaws.com:codestar,4
amazonaws.com:cognito-identity,4
amazonaws.com:cognito-idp,6
amazonaws.com:cognito-sync,4
amazonaws.com:comprehend,4
amazonaws.com:config,3
amazonaws.com:cur,5
amazonaws.com:datapipeline,4
amazonaws.com:dax,3
amazonaws.com:devicefarm,3
amazonaws.com:directconnect,3
amazonaws.com:discovery,4
amazonaws.com:dms,3
amazonaws.com:ds,3
amazonaws.com:dynamodb,3
amazonaws.com:ec2,6
amazonaws.com:ecr,3
amazonaws.com:ecs,3
amazonaws.com:elasticache,3
amazonaws.com:elasticbeanstalk,3
amazonaws.com:elasticfilesystem,4
amazonaws.com:elasticloadbalancing,3
amazonaws.com:elasticloadbalancingv2,3
amazonaws.com:elasticmapreduce,3
amazonaws.com:elastictranscoder,4
amazonaws.com:email,6
amazonaws.com:entitlement.marketplace,1
amazonaws.com:es,4
amazonaws.com:events,4
amazonaws.com:firehose,2
amazonaws.com:gamelift,6
amazonaws.com:glacier,3
amazonaws.com:glue,6
amazonaws.com:greengrass,3
amazonaws.com:guardduty,3
amazonaws.com:health,2
amazonaws.com:iam,6
amazonaws.com:importexport,2
amazonaws.com:inspector,3
amazonaws.com:iot,6
amazonaws.com:iot-data,5
amazonaws.com:iot-jobs-data,5
amazonaws.com:kinesis,3
amazonaws.com:kinesis-video-archived-media,5
amazonaws.com:kinesis-video-media,1
amazonaws.com:kinesisanalytics,4
amazonaws.com:kinesisvideo,4
amazonaws.com:kms,3
amazonaws.com:lambda,3
amazonaws.com:lex-models,3
amazonaws.com:lightsail,6
amazonaws.com:logs,3
amazonaws.com:machinelearning,3
amazonaws.com:marketplacecommerceanalytics,5
amazonaws.com:mediaconvert,4
amazonaws.com:medialive,4
amazonaws.com:mediapackage,2
amazonaws.com:mediastore,4
amazonaws.com:mediastore-data,5
amazonaws.com:meteringmarketplace,5
amazonaws.com:mobile,2
amazonaws.com:mobileanalytics,1
amazonaws.com:monitoring,4
amazonaws.com:mq,4
amazonaws.com:mturk-requester,3
amazonaws.com:opsworks,6
amazonaws.com:opsworkscm,4
amazonaws.com:organizations,3
amazonaws.com:pinpoint,3
